price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
100000,"Витоша, София",Двустаен апартамент в София,40 кв.м,Тухла,2019 г.,Not Available,Непоследен
153900,"Витоша, София",Двустаен апартамент в София,65 кв.м,Тухла,2014 г.,Not Available,Непоследен
129000,"Витоша, София",Двустаен апартамент в София,50 кв.м,Тухла,2016 г.,5 етаж,Непоследен
297000,"Център, София",Двустаен апартамент в София,64 кв.м,Тухла,1934 г.,5 етаж,Последен етаж
172700,"Банишора, София",Тристаен апартамент в София,75 кв.м,Панел,1980 г.,1 етаж,Непоследен
138100,"Люлин 5, София",Тристаен апартамент в София,97 кв.м,Тухла,2024 г.,Not Available,Непоследен
299000,"Банишора, София",Мезонет,115 кв.м,Тухла,2009 г.,7 етаж,Последен етаж
299000,"Център, София",Мезонет,115 кв.м,Тухла,2009 г.,7 етаж,Последен етаж
95000,"Люлин 4, София",Едностаен апартамент в София,44 кв.м,ЕПК/ПК,1990 г.,5 етаж,Непоследен
80000,"Захарна Фабрика, София",Едностаен апартамент в София,40 кв.м,Тухла,1960 г.,1 етаж,Първи жилищен
188500,"Гевгелийски, София",Двустаен апартамент в София,60 кв.м,Панел,1985 г.,1 етаж,Първи жилищен
528250,"Бояна, София",Многостаен апартамент в София,211 кв.м,Тухла,Not Available,4 етаж,Последен етаж
136900,"Студентски Град, София",Двустаен апартамент в София,53 кв.м,Тухла,2025 г.,3 етаж,Непоследен
394200,"Хладилника, София",Тристаен апартамент в София,128 кв.м,Тухла,2024 г.,6 етаж,Непоследен
410200,"Хладилника, София",Тристаен апартамент в София,130 кв.м,Тухла,2024 г.,6 етаж,Непоследен
538176,"Кръстова Вада, София",Многостаен апартамент в София,224 кв.м,Тухла,2022 г.,10 етаж,Непоследен
288000,"Център, София",Тристаен апартамент в София,80 кв.м,Тухла,1962 г.,3 етаж,Непоследен
155171,"Люлин 5, София",Тристаен апартамент в София,100 кв.м,Тухла,2026 г.,2 етаж,Непоследен
219564,"Красна Поляна, София",Многостаен апартамент в София,122 кв.м,Тухла,2026 г.,8 етаж,Последен етаж
151132,"Люлин 5, София",Тристаен апартамент в София,102 кв.м,Тухла,2026 г.,3 етаж,Непоследен
92496,"Люлин 5, София",Двустаен апартамент в София,64 кв.м,Тухла,2026 г.,3 етаж,Непоследен
315000,"Кръстова Вада, София",Многостаен апартамент в София,117 кв.м,Тухла,2016 г.,1 етаж,Партер
321360,"Младост 4, София",Многостаен апартамент в София,156 кв.м,Тухла,2024 г.,4 етаж,Непоследен
238510,"Малинова Долина, София",Тристаен апартамент в София,122 кв.м,Тухла,2024 г.,3 етаж,Непоследен
200000,"Люлин 10, София",Тристаен апартамент в София,101 кв.м,ЕПК/ПК,1988 г.,15 етаж,Последен етаж
242420,"Малинова Долина, София",Тристаен апартамент в София,124 кв.м,Тухла,2024 г.,2 етаж,Непоследен
229000,"Дианабад, София",Двустаен апартамент в София,65 кв.м,Тухла,2013 г.,1 етаж,Първи жилищен
216240,"Овча Купел, София",Тристаен апартамент в София,102 кв.м,Тухла,2024 г.,2 етаж,Непоследен
336260,"Малинова Долина, София",Многостаен апартамент в София,172 кв.м,Тухла,2024 г.,2 етаж,Непоследен
118674,"Левски В, София",Двустаен апартамент в София,66 кв.м,Тухла,2027 г.,2 етаж,Първи жилищен
179490,"Левски В, София",Тристаен апартамент в София,116 кв.м,Тухла,2027 г.,3 етаж,Непоследен
161297,"Левски В, София",Тристаен апартамент в София,92 кв.м,Тухла,2027 г.,2 етаж,Първи жилищен
254818,"Люлин 5, София",Мезонет,156 кв.м,Тухла,2023 г.,8 етаж,Последен етаж
183046,"Надежда 4, София",Двустаен апартамент в София,94 кв.м,Тухла,2025 г.,7 етаж,Последен етаж
163200,"Левски В, София",Тристаен апартамент в София,96 кв.м,Тухла,2027 г.,3 етаж,Непоследен
203151,"Надежда 4, София",Тристаен апартамент в София,104 кв.м,Тухла,2025 г.,2 етаж,Първи жилищен
125817,"Надежда 2, София",Двустаен апартамент в София,74 кв.м,Тухла,2026 г.,3 етаж,Непоследен
256737,"Надежда 4, София",Тристаен апартамент в София,131 кв.м,Тухла,2025 г.,2 етаж,Първи жилищен
189696,"Надежда 4, София",Двустаен апартамент в София,97 кв.м,Тухла,2025 г.,7 етаж,Последен етаж
155000,"Дървеница, София",Двустаен апартамент в София,52 кв.м,Тухла,1970 г.,1 етаж,Непоследен
149000,"Дружба 1, София",Двустаен апартамент в София,68 кв.м,ЕПК/ПК,1989 г.,3 етаж,Непоследен
199950,"Дружба 2, София",Тристаен апартамент в София,80 кв.м,Панел,1985 г.,3 етаж,Непоследен
325000,"Център, София",Тристаен апартамент в София,105 кв.м,Тухла,1997 г.,1 етаж,Партер
105000,"Дружба 1, София",Двустаен апартамент в София,49 кв.м,Тухла,1980 г.,1 етаж,Първи жилищен
265664,"Връбница 2, София",Мезонет,138.12 кв.м,Тухла,Not Available,1 етаж,Not Available
205515,"м. Гърдова глава, София",Многостаен апартамент в София,137.01 кв.м,Тухла,Not Available,1 етаж,Not Available
493690,"Дървеница, София",Тристаен апартамент в София,179.55 кв.м,Тухла,Not Available,7 етаж,Not Available
505260,"Дървеница, София",Многостаен апартамент в София,197.33 кв.м,Тухла,Not Available,7 етаж,Not Available
573580,"Дървеница, София",Мезонет,228.14 кв.м,Тухла,Not Available,6 етаж,Not Available
170280,"Дружба 2, София",Двустаен апартамент в София,65 кв.м,Тухла,2025 г.,3 етаж,Непоследен
499000,"Център, София",Тристаен апартамент в София,87 кв.м,Тухла,1938 г.,1 етаж,Непоследен
131956,"Малинова Долина, София",Двустаен апартамент в София,60 кв.м,Тухла,2026 г.,3 етаж,Непоследен
189753,"Малинова Долина, София",Тристаен апартамент в София,100 кв.м,Тухла,2025 г.,4 етаж,Непоследен
235000,"Красно Село, София",Двустаен апартамент в София,65 кв.м,Тухла,1974 г.,12 етаж,Непоследен
205000,"Център, София",Двустаен апартамент в София,70 кв.м,Тухла,2000 г.,2 етаж,Непоследен
190000,"Дружба 1, София",Двустаен апартамент в София,78 кв.м,Панел,1979 г.,5 етаж,Непоследен
122000,"Малинова Долина, София",Двустаен апартамент в София,66 кв.м,Тухла,2025 г.,2 етаж,Непоследен
1000,"Левски В, София",Тристаен апартамент в София,95 кв.м,Панел,1978 г.,4 етаж,Непоследен
299000,"Младост 3, София",Двустаен апартамент в София,73 кв.м,ЕПК/ПК,1980 г.,11 етаж,Непоследен
106913,"Левски В, София",Двустаен апартамент в София,62 кв.м,Тухла,2026 г.,1 етаж,Първи жилищен
227715,"Левски В, София",Тристаен апартамент в София,133 кв.м,Тухла,2026 г.,4 етаж,Непоследен
110304,"Левски В, София",Двустаен апартамент в София,82 кв.м,Тухла,2026 г.,5 етаж,Непоследен
142013,"Левски В, София",Тристаен апартамент в София,106 кв.м,Тухла,2026 г.,4 етаж,Непоследен
96117,"Левски В, София",Тристаен апартамент в София,72 кв.м,Тухла,2026 г.,5 етаж,Непоследен
161805,"Малинова Долина, София",Двустаен апартамент в София,75 кв.м,Тухла,2025 г.,2 етаж,Непоследен
219823,"Малинова Долина, София",Тристаен апартамент в София,102 кв.м,Тухла,2025 г.,2 етаж,Непоследен
62400,"Сухата река, София",Едностаен апартамент в София,25 кв.м,Панел,1985 г.,2 етаж,Непоследен
229000,"Красно Село, София",Двустаен апартамент в София,64 кв.м,Панел,1980 г.,5 етаж,Непоследен
280000,"Кръстова Вада, София",Двустаен апартамент в София,76.79 кв.м,Тухла,2025 г.,1 етаж,Непоследен
81800,"Малинова Долина, София",Едностаен апартамент в София,50 кв.м,Тухла,2028 г.,3 етаж,Непоследен
169600,"Малинова Долина, София",Тристаен апартамент в София,99 кв.м,Тухла,2028 г.,2 етаж,Непоследен
110000,"Люлин 6, София",Тристаен апартамент в София,85 кв.м,Тухла,2019 г.,5 етаж,Непоследен
190000,"Сухата река, София",Тристаен апартамент в София,91 кв.м,Тухла,2025 г.,2 етаж,Непоследен
