price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
234674.0,Подуяне,Тристаен,107.0,Тухла,2026.0,4.0,Непоследен
256500.0,Малинова Долина,Многостаен,172.0,Тухла,2025.0,5.0,Последен етаж
317228.0,Малинова Долина,Тристаен,169.0,Тухла,2025.0,1.0,Партер
279035.0,Малинова Долина,Двустаен,130.0,Тухла,2025.0,4.0,Непоследен
347645.0,Манастирски Ливади,Многостаен,151.0,Тухла,2024.0,2.0,Първи жилищен
153489.0,Малинова Долина,Двустаен,73.0,Тухла,2026.0,2.0,Непоследен
468000.0,Бояна,Тристаен,170.0,Тухла,2024.0,2.0,Непоследен
155903.0,Център,Едностаен,5988.0,Тухла,2026.0,2.0,Непоследен
101900.0,Люлин 5,Двустаен,71.0,Тухла,2024.0,,Непоследен
149000.0,Младост 3,Двустаен,65.0,Тухла,2025.0,3.0,Непоследен
100000.0,Витоша,Двустаен,40.0,Тухла,2019.0,,Непоследен
153900.0,Витоша,Двустаен,65.0,Тухла,2014.0,,Непоследен
129000.0,Витоша,Двустаен,50.0,Тухла,2016.0,5.0,Непоследен
297000.0,Център,Двустаен,64.0,Тухла,1934.0,5.0,Последен етаж
172700.0,Банишора,Тристаен,75.0,Панел,1980.0,1.0,Непоследен
138100.0,Люлин 5,Тристаен,97.0,Тухла,2024.0,,Непоследен
299000.0,Банишора,Мезонет,115.0,Тухла,2009.0,7.0,Последен етаж
299000.0,Център,Мезонет,115.0,Тухла,2009.0,7.0,Последен етаж
95000.0,Люлин 4,Едностаен,44.0,ЕПК/ПК,1990.0,5.0,Непоследен
80000.0,Захарна Фабрика,Едностаен,40.0,Тухла,1960.0,1.0,Първи жилищен
188500.0,Гевгелийски,Двустаен,60.0,Панел,1985.0,1.0,Първи жилищен
528250.0,Бояна,Многостаен,211.0,Тухла,,4.0,Последен етаж
136900.0,Студентски Град,Двустаен,53.0,Тухла,2025.0,3.0,Непоследен
394200.0,Хладилника,Тристаен,128.0,Тухла,2024.0,6.0,Непоследен
410200.0,Хладилника,Тристаен,130.0,Тухла,2024.0,6.0,Непоследен
538176.0,Кръстова Вада,Многостаен,224.0,Тухла,2022.0,10.0,Непоследен
288000.0,Център,Тристаен,80.0,Тухла,1962.0,3.0,Непоследен
155171.0,Люлин 5,Тристаен,100.0,Тухла,2026.0,2.0,Непоследен
219564.0,Красна Поляна,Многостаен,122.0,Тухла,2026.0,8.0,Последен етаж
151132.0,Люлин 5,Тристаен,102.0,Тухла,2026.0,3.0,Непоследен
92496.0,Люлин 5,Двустаен,64.0,Тухла,2026.0,3.0,Непоследен
315000.0,Кръстова Вада,Многостаен,117.0,Тухла,2016.0,1.0,Партер
321360.0,Младост 4,Многостаен,156.0,Тухла,2024.0,4.0,Непоследен
238510.0,Малинова Долина,Тристаен,122.0,Тухла,2024.0,3.0,Непоследен
200000.0,Люлин 10,Тристаен,101.0,ЕПК/ПК,1988.0,15.0,Последен етаж
242420.0,Малинова Долина,Тристаен,124.0,Тухла,2024.0,2.0,Непоследен
229000.0,Дианабад,Двустаен,65.0,Тухла,2013.0,1.0,Първи жилищен
216240.0,Овча Купел,Тристаен,102.0,Тухла,2024.0,2.0,Непоследен
336260.0,Малинова Долина,Многостаен,172.0,Тухла,2024.0,2.0,Непоследен
118674.0,Левски В,Двустаен,66.0,Тухла,2027.0,2.0,Първи жилищен
179490.0,Левски В,Тристаен,116.0,Тухла,2027.0,3.0,Непоследен
161297.0,Левски В,Тристаен,92.0,Тухла,2027.0,2.0,Първи жилищен
254818.0,Люлин 5,Мезонет,156.0,Тухла,2023.0,8.0,Последен етаж
183046.0,Надежда 4,Двустаен,94.0,Тухла,2025.0,7.0,Последен етаж
163200.0,Левски В,Тристаен,96.0,Тухла,2027.0,3.0,Непоследен
203151.0,Надежда 4,Тристаен,104.0,Тухла,2025.0,2.0,Първи жилищен
125817.0,Надежда 2,Двустаен,74.0,Тухла,2026.0,3.0,Непоследен
256737.0,Надежда 4,Тристаен,131.0,Тухла,2025.0,2.0,Първи жилищен
189696.0,Надежда 4,Двустаен,97.0,Тухла,2025.0,7.0,Последен етаж
155000.0,Дървеница,Двустаен,52.0,Тухла,1970.0,1.0,Непоследен
149000.0,Дружба 1,Двустаен,68.0,ЕПК/ПК,1989.0,3.0,Непоследен
199950.0,Дружба 2,Тристаен,80.0,Панел,1985.0,3.0,Непоследен
325000.0,Център,Тристаен,105.0,Тухла,1997.0,1.0,Партер
105000.0,Дружба 1,Двустаен,49.0,Тухла,1980.0,1.0,Първи жилищен
265664.0,Връбница 2,Мезонет,13812.0,Тухла,,1.0,
205515.0,м. Гърдова глава,Многостаен,13701.0,Тухла,,1.0,
493690.0,Дървеница,Тристаен,17955.0,Тухла,,7.0,
505260.0,Дървеница,Многостаен,19733.0,Тухла,,7.0,
573580.0,Дървеница,Мезонет,22814.0,Тухла,,6.0,
170280.0,Дружба 2,Двустаен,65.0,Тухла,2025.0,3.0,Непоследен
499000.0,Център,Тристаен,87.0,Тухла,1938.0,1.0,Непоследен
131956.0,Малинова Долина,Двустаен,60.0,Тухла,2026.0,3.0,Непоследен
189753.0,Малинова Долина,Тристаен,100.0,Тухла,2025.0,4.0,Непоследен
235000.0,Красно Село,Двустаен,65.0,Тухла,1974.0,12.0,Непоследен
205000.0,Център,Двустаен,70.0,Тухла,2000.0,2.0,Непоследен
190000.0,Дружба 1,Двустаен,78.0,Панел,1979.0,5.0,Непоследен
122000.0,Малинова Долина,Двустаен,66.0,Тухла,2025.0,2.0,Непоследен
1000.0,Левски В,Тристаен,95.0,Панел,1978.0,4.0,Непоследен
299000.0,Младост 3,Двустаен,73.0,ЕПК/ПК,1980.0,11.0,Непоследен
106913.0,Левски В,Двустаен,62.0,Тухла,2026.0,1.0,Първи жилищен
227715.0,Левски В,Тристаен,133.0,Тухла,2026.0,4.0,Непоследен
110304.0,Левски В,Двустаен,82.0,Тухла,2026.0,5.0,Непоследен
142013.0,Левски В,Тристаен,106.0,Тухла,2026.0,4.0,Непоследен
96117.0,Левски В,Тристаен,72.0,Тухла,2026.0,5.0,Непоследен
161805.0,Малинова Долина,Двустаен,75.0,Тухла,2025.0,2.0,Непоследен
219823.0,Малинова Долина,Тристаен,102.0,Тухла,2025.0,2.0,Непоследен
62400.0,Сухата река,Едностаен,25.0,Панел,1985.0,2.0,Непоследен
229000.0,Красно Село,Двустаен,64.0,Панел,1980.0,5.0,Непоследен
280000.0,Кръстова Вада,Двустаен,7679.0,Тухла,2025.0,1.0,Непоследен
81800.0,Малинова Долина,Едностаен,50.0,Тухла,2028.0,3.0,Непоследен
169600.0,Малинова Долина,Тристаен,99.0,Тухла,2028.0,2.0,Непоследен
110000.0,Люлин 6,Тристаен,85.0,Тухла,2019.0,5.0,Непоследен
190000.0,Сухата река,Тристаен,91.0,Тухла,2025.0,2.0,Непоследен
139000.0,Славия,Двустаен,50.0,Тухла,1949.0,2.0,Първи жилищен
195000.0,Банишора,Двустаен,65.0,Тухла,2020.0,5.0,Непоследен
